state_name,report_date,Medicaid_Enrollment
Texas,03/01/2020,4206104
Utah,03/01/2020,316364
Vermont,03/01/2020,153778
Virginia,03/01/2020,1435647
Washington,03/01/2020,1732597
West Virginia,03/01/2020,511499
Wisconsin,03/01/2020,1054843
Wyoming,03/01/2020,56111
United States,04/01/2020,72690925
Alabama,04/01/2020,933842
Alaska,04/01/2020,228270
Arizona,04/01/2020,1781233
Arkansas,04/01/2020,813734
California,04/01/2020,11622708
Colorado,04/01/2020,1296936
Connecticut,04/01/2020,860826
Delaware,04/01/2020,235286
District of Columbia,04/01/2020,246464
Florida,04/01/2020,3694863
Georgia,04/01/2020,1895954
Hawaii,04/01/2020,338323
Idaho,04/01/2020,332920
Illinois,04/01/2020,2930332
Indiana,04/01/2020,1394899
Iowa,04/01/2020,686819
Kansas,04/01/2020,388818
Kentucky,04/01/2020,1344593
Louisiana,04/01/2020,1539651
Maine,04/01/2020,276076
Maryland,04/01/2020,1350607
Massachusetts,04/01/2020,1602898
Michigan,04/01/2020,2392157
Minnesota,04/01/2020,1067455
Mississippi,04/01/2020,621960
Missouri,04/01/2020,897743
Montana,04/01/2020,252152
Nebraska,04/01/2020,249575
Nevada,04/01/2020,651890
New Hampshire,04/01/2020,189297
New Jersey,04/01/2020,1732647
New Mexico,04/01/2020,757978
New York,04/01/2020,6022413
North Carolina,04/01/2020,1829829
North Dakota,04/01/2020,92690
Ohio,04/01/2020,2701204
Oklahoma,04/01/2020,762993
Oregon,04/01/2020,1029603
Pennsylvania,04/01/2020,3060956
Rhode Island,04/01/2020,299750
South Carolina,04/01/2020,1044058
South Dakota,04/01/2020,110561
Tennessee,04/01/2020,1464168
Texas,04/01/2020,4309314
Utah,04/01/2020,327216
Vermont,04/01/2020,157550
Virginia,04/01/2020,1462199
Washington,04/01/2020,1749575
West Virginia,04/01/2020,519910
Wisconsin,04/01/2020,1080213
Wyoming,04/01/2020,57817
United States,05/01/2020,73876794
Alabama,05/01/2020,943545
Alaska,05/01/2020,230043
Arizona,05/01/2020,1817362
Arkansas,05/01/2020,820544
California,05/01/2020,11740127
Colorado,05/01/2020,1316135
Connecticut,05/01/2020,868067
Delaware,05/01/2020,238113
District of Columbia,05/01/2020,248554
Florida,05/01/2020,3823393
Georgia,05/01/2020,1929582
Hawaii,05/01/2020,346922
Idaho,05/01/2020,337725
Illinois,05/01/2020,2973372
Indiana,05/01/2020,1425115
Iowa,05/01/2020,694372
Kansas,05/01/2020,395563
Kentucky,05/01/2020,1374471
Louisiana,05/01/2020,1563802
Maine,05/01/2020,283426
Maryland,05/01/2020,1362890
Massachusetts,05/01/2020,1617451
Michigan,05/01/2020,2425239
Minnesota,05/01/2020,1081190
Mississippi,05/01/2020,629996
Missouri,05/01/2020,915882
Montana,05/01/2020,254458
Nebraska,05/01/2020,252935
Nevada,05/01/2020,669844
New Hampshire,05/01/2020,192026
New Jersey,05/01/2020,1753985
New Mexico,05/01/2020,768206
New York,05/01/2020,6193566
North Carolina,05/01/2020,1853734
North Dakota,05/01/2020,95867
Ohio,05/01/2020,2749126
Oklahoma,05/01/2020,773600
Oregon,05/01/2020,1042719
Pennsylvania,05/01/2020,3094732
Rhode Island,05/01/2020,302288
South Carolina,05/01/2020,1054828
South Dakota,05/01/2020,112232
Tennessee,05/01/2020,1479431
Texas,05/01/2020,4400011
Utah,05/01/2020,334295
Vermont,05/01/2020,159344
Virginia,05/01/2020,1485789
Washington,05/01/2020,1767896
West Virginia,05/01/2020,526327
Wisconsin,05/01/2020,1097910
Wyoming,05/01/2020,58764
United States,06/01/2020,74862713
Alabama,06/01/2020,951984
Alaska,06/01/2020,232069
Arizona,06/01/2020,1839932
Arkansas,06/01/2020,836406
California,06/01/2020,11847711
Colorado,06/01/2020,1336974
Connecticut,06/01/2020,874974
Delaware,06/01/2020,240476
District of Columbia,06/01/2020,250860
Florida,06/01/2020,3892552
Georgia,06/01/2020,1945955
Hawaii,06/01/2020,351439
Idaho,06/01/2020,342341
Illinois,06/01/2020,2997129
Indiana,06/01/2020,1457558
Iowa,06/01/2020,702567
Kansas,06/01/2020,401103
Kentucky,06/01/2020,1420933
Louisiana,06/01/2020,1586472
Maine,06/01/2020,287654
Maryland,06/01/2020,1377552
Massachusetts,06/01/2020,1632191
Michigan,06/01/2020,2453888
Minnesota,06/01/2020,1094130
Mississippi,06/01/2020,637591
Missouri,06/01/2020,933956
Montana,06/01/2020,257006
Nebraska,06/01/2020,256931
Nevada,06/01/2020,685073
New Hampshire,06/01/2020,194886
New Jersey,06/01/2020,1782694
New Mexico,06/01/2020,775051
New York,06/01/2020,6279719
North Carolina,06/01/2020,1878507
North Dakota,06/01/2020,96757
Ohio,06/01/2020,2788134
Oklahoma,06/01/2020,797220
Oregon,06/01/2020,1055751
Pennsylvania,06/01/2020,3119757
Rhode Island,06/01/2020,305900
South Carolina,06/01/2020,1065947
South Dakota,06/01/2020,114059
Tennessee,06/01/2020,1496239
Texas,06/01/2020,4472519
Utah,06/01/2020,341920
Vermont,06/01/2020,161336
Virginia,06/01/2020,1508352
Washington,06/01/2020,1790395
West Virginia,06/01/2020,532776
Wisconsin,06/01/2020,1119126
Wyoming,06/01/2020,60261
United States,07/01/2020,75818906
Alabama,07/01/2020,959675
Alaska,07/01/2020,233334
Arizona,07/01/2020,1862408
Arkansas,07/01/2020,843515
California,07/01/2020,12016056
Colorado,07/01/2020,1357050
Connecticut,07/01/2020,885365
Delaware,07/01/2020,243349
District of Columbia,07/01/2020,253009
Florida,07/01/2020,3930734
Georgia,07/01/2020,1970507
Hawaii,07/01/2020,357858
Idaho,07/01/2020,347777
Illinois,07/01/2020,3032490
Indiana,07/01/2020,1472104
Iowa,07/01/2020,711187
Kansas,07/01/2020,406698
Kentucky,07/01/2020,1465221
Louisiana,07/01/2020,1608573
Maine,07/01/2020,291569
Maryland,07/01/2020,1392038
Massachusetts,07/01/2020,1647914
Michigan,07/01/2020,2487485
Minnesota,07/01/2020,1108531
Mississippi,07/01/2020,645270
Missouri,07/01/2020,951731
